AMAT,2018-11-09,34.50,34.63,33.83,34.28,34.25,Stay Long
CLR,2018-11-09,48.96,51.06,48.24,50.73,50.01,Stay Long
CRUS,2018-11-09,41.52,41.79,40.80,41.37,41.32,Stay Long
DQ,2018-11-09,26.01,26.24,24.69,25.62,25.52,Stay Long
M,2018-11-09,37.61,37.93,37.16,37.78,37.62,Stay Long
RIG,2018-11-09,10.30,10.61,10.07,10.53,10.40,Stay Long
AEO,2018-11-09,22.75,22.87,21.54,21.77,22.06,PullingBack
BAC,2018-11-09,28.75,28.89,28.38,28.52,28.60,PullingBack
BBY,2018-11-09,73.15,73.29,67.71,67.79,69.60,PullingBack
BJ,2018-11-09,23.61,23.87,22.39,23.12,23.13,PullingBack
CTRL,2018-11-09,24.44,24.84,23.72,23.77,24.11,PullingBack
CYBR,2018-11-09,77.64,79.09,76.77,77.33,77.73,PullingBack
FCX,2018-11-09,11.56,11.61,11.18,11.35,11.38,PullingBack
IBKR,2018-11-09,55.75,56.29,54.62,55.37,55.43,PullingBack
INTC,2018-11-09,48.79,49.03,47.87,48.11,48.34,PullingBack
JPM,2018-11-09,112.23,112.36,110.83,111.29,111.49,PullingBack
JWN,2018-11-09,66.32,66.35,65.08,65.46,65.63,PullingBack
KSS,2018-11-09,81.90,82.99,81.24,81.97,82.07,PullingBack
VEEV,2018-11-09,96.19,96.19,92.05,93.60,93.95,PullingBack
X,2018-11-09,27.96,28.29,27.31,27.69,27.76,PullingBack
