BAC,2018-11-09,27.95,29.12,27.74,28.52,28.46,Stay Long
CLR,2018-11-09,50.99,52.54,48.24,50.73,50.50,Stay Long
CRUS,2018-11-09,40.25,42.79,39.17,41.37,41.11,Stay Long
CYBR,2018-11-09,68.09,84.21,65.88,77.33,75.81,Stay Long
JPM,2018-11-09,108.61,112.93,107.76,111.29,110.66,Stay Long
KSS,2018-11-09,77.06,82.99,76.15,81.97,80.37,Stay Long
M,2018-11-09,35.58,37.93,35.28,37.78,37.00,Stay Long
AEO,2018-11-09,22.23,23.10,21.54,21.77,22.14,PullingBack
AMAT,2018-11-09,35.32,35.62,33.75,34.28,34.55,PullingBack
BBY,2018-11-09,71.84,73.59,67.71,67.79,69.70,PullingBack
BJ,2018-11-09,22.27,24.83,22.08,23.12,23.34,PullingBack
CTRL,2018-11-09,23.98,25.07,22.63,23.77,23.82,PullingBack
DQ,2018-11-09,27.30,29.98,24.69,25.62,26.76,PullingBack
FCX,2018-11-09,12.20,12.39,11.18,11.35,11.64,PullingBack
IBKR,2018-11-09,55.02,57.80,54.35,55.37,55.84,PullingBack
INTC,2018-11-09,47.34,49.29,46.92,48.11,48.11,PullingBack
JWN,2018-11-09,66.54,67.75,64.59,65.46,65.93,PullingBack
RIG,2018-11-09,11.05,11.59,10.07,10.53,10.73,PullingBack
VEEV,2018-11-09,91.93,98.28,89.65,93.60,93.84,PullingBack
X,2018-11-09,27.90,29.84,27.31,27.69,28.28,PullingBack
