Stock List: ,IBD 50,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Description: ,"IBD's flagship screen of leading growth stocks gives you 50 companies showing strong relative price strength and top-notch fundamentals. Before you decide what stocks to buy, always check out these new and innovative stocks that historically far outperform the S&P 500. Click ticker for latest chart analysis",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Export Date: ,"7:54 AM Eastern, Sunday, December 25, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Symbol,Company Name,Rank,Price,Price Change,Price % Change,% off High,Volume,Volume % Change,Composite Rating,EPS Rating,RS Rating,SMR Rating,ACC/DIS Rating,Group Rel Str Rating,EPS % Change(Latest Qtr),EPS % Change(Prev Qtr),EPS EST % Change(Current Qtr),EPS EST % Change(Current Yr),Sales % Change(Last Qtr),Annual ROE,Annual Profit Margin (Latest Yr),Mgmt Own %,Qtrs of Rising Sponsorship
NVDA,NVIDIA CORP,1,109.78,2.67,2.5,0.8,16168,17.8,99,96,99,A,A,A+,104,56,60,44,54,21,23,6,8
THO,THOR INDUSTRIES INC,2,102.70,-0.01,0.0,-5.3,300,-62.0,99,97,95,A,A+,A,54,20,25,26,66,23,9,7,2
ESNT,Essent Group Ltd,3,32.66,0.21,0.7,-3.8,210,-71.7,98,99,92,A,B-,B,48,39,31,37,32,15,65,5,2
GATX,G A T X CORP,4,63.12,-0.08,-0.1,-2.1,173,-62.7,96,99,92,B,A+,A-,97,45,-28,6,-6,18,22,3,4
UBNT,Ubiquiti Networks Inc,5,58.08,-0.37,-0.6,-2.3,244,-46.5,98,98,93,A,B+,C+,55,38,33,28,35,48,35,70,1
IDCC,INTERDIGITAL INC,6,90.85,-0.50,-0.6,-7.3,136,-66.2,97,96,95,A,B+,A-,340,28,324,158,107,25,42,2,1
EVR,EVERCORE PARTNERS INC,7,70.20,-0.10,-0.1,-2.5,322,-32.7,99,98,89,A,A,A+,51,60,7,30,25,32,23,5,1
WAL,WESTERN ALLIANCE BANCORP,8,49.67,0.19,0.4,-2.1,264,-65.0,99,96,92,A,A-,A+,20,41,18,23,26,15,47,10,0
CPE,CALLON PETROLEUM CO,9,15.60,-0.11,-0.7,-15.8,3884,-27.9,99,95,93,B,C-,A+,80,25,100,87,63,4,99,2,7
CFG,Citizens Financial Group,10,36.33,0.33,0.9,0.5,1896,-70.9,99,92,96,B,A+,A+,30,15,24,20,14,4,25,0,8
SIVB,S V B FINANCIAL GROUP,11,173.50,0.07,0.0,-1.2,244,-58.4,99,90,97,A,A-,A+,35,7,7,9,19,11,40,1,1
ANET,Arista Networks Inc,12,96.93,0.07,0.1,-2.0,138,-81.3,98,98,87,A,B,B+,41,37,3,27,33,26,28,32,8
BOFI,B O F I HOLDING INC,13,28.95,0.87,3.1,-1.0,708,-38.5,98,94,91,A,B-,A,13,18,11,13,26,20,53,6,2
AEIS,ADVANCED ENERGY INDS,14,55.97,-0.03,-0.1,-1.8,135,-61.3,97,93,94,A,B,A,28,16,153,31,15,24,27,1,3
PLAY,Dave & Buster's Ent Inc,15,56.15,0.06,0.1,-3.2,271,-69.5,93,99,88,A,B,C,108,25,9,35,19,21,12,6,7
EXP,EAGLE MATERIALS INC,16,99.43,0.29,0.3,-3.6,189,-76.6,90,98,90,B,B+,B,112,24,23,37,1,15,19,6,2
AMAT,APPLIED MATERIALS INC,17,32.90,-0.11,-0.3,-2.1,4015,-65.2,99,93,90,A,B,A,128,52,154,37,39,26,20,0,3
STL,Sterling Bancorp,18,23.85,-0.15,-0.6,-3.2,328,-72.0,98,90,93,A,B+,A,16,17,12,14,12,8,38,4,1
COMM,Commscope Holding Co Inc,19,37.16,-0.04,-0.1,-2.2,556,-75.6,94,98,85,A,B,C+,53,51,36,40,33,29,14,4,2
HQY,Healthequity Inc,20,40.90,0.37,0.9,-9.1,217,-65.8,89,96,90,A,C,C-,25,78,-29,24,42,12,25,6,2
LOGM,LOGMEIN INC,21,95.25,0.25,0.3,-13.5,171,-44.6,91,94,90,A,D-,B,22,40,14,20,22,22,22,1,1
PRI,PRIMERICA INC,22,70.40,0.60,0.9,-3.6,195,-66.3,94,94,89,A,C+,A+,24,28,18,21,8,16,21,1,5
HOMB,HOME BANCSHARES INC,23,27.95,0.02,0.1,-2.3,276,-60.8,98,94,87,A,B,A+,15,24,14,20,18,13,50,15,1
SCHW,Charles Schwab Corp,24,40.32,0.55,1.4,0.3,6374,-37.8,99,92,88,A,A,A+,26,25,21,29,20,11,35,13,8
MS,MORGAN STANLEY,25,43.06,0.27,0.6,-2.2,6732,-49.2,96,89,94,C,A,A,135,-5,49,14,14,7,21,0,1
CGNX,COGNEX CORP,26,64.03,-0.76,-1.2,-2.9,307,-49.3,96,87,95,A,B+,B+,81,0,38,20,38,15,32,6,2
MSCC,MICROSEMI CORP,27,56.15,0.39,0.7,-2.0,449,-69.7,97,86,95,A,B-,A,25,7,19,21,37,23,22,1,1
OZRK,BANK OF THE OZARKS INC,28,53.43,-0.42,-0.8,-1.3,451,-69.3,99,93,85,A,A-,A+,22,15,3,13,78,17,57,9,8
MBFI,M B FINANCIAL INC,29,47.44,-0.17,-0.4,-1.3,208,-63.0,99,89,88,B,B,A+,24,9,15,6,21,8,29,7,5
RDN,RADIAN GROUP INC,30,18.28,0.20,1.1,0.9,1667,-41.8,94,88,93,A,A,B,32,-5,18,11,8,15,43,2,2
GRUB,Grubhub Inc,31,37.61,0.19,0.5,-15.6,604,-64.3,93,99,79,A,C+,B-,77,35,32,34,44,7,27,3,2
ALGN,ALIGN TECHNOLOGY INC,32,98.50,0.29,0.3,-3.5,419,-59.5,95,98,80,A,B-,B-,85,59,12,42,34,17,21,2,8
