NVDA,NASDAQ,STOCK,USD,0.01,NVIDIA Corporation Common Stock ,NVIDIA Corporation Common Stock 
ESNT,NYSE,STOCK,USD,0.01,Essent Group Ltd. Common Shares ,Essent Group Ltd. Common Shares 
AEIS,NASDAQ,STOCK,USD,0.01,Advanced Energy Industries,Advanced Energy Industries
HQY,NASDAQ,STOCK,USD,0.01,HealthEquity,HealthEquity
UBNT,NASDAQ,STOCK,USD,0.01,Ubiquiti Networks,Ubiquiti Networks
THO,NYSE,STOCK,USD,0.01,Thor Industries,Thor Industries
IDCC,NASDAQ,STOCK,USD,0.01,InterDigital,InterDigital
EVR,NYSE,STOCK,USD,0.01,Evercore Partners Inc Class A Commo,Evercore Partners Inc Class A Commo
MRCY,NASDAQ,STOCK,USD,0.01,Mercury Systems Inc Common Stock ,Mercury Systems Inc Common Stock 
CFG,NYSE,STOCK,USD,0.01,Citizens Financial Group,Citizens Financial Group
BOFI,NASDAQ,STOCK,USD,0.01,BofI Holding,BofI Holding
NTES,NASDAQ,STOCK,USD,0.01,NetEase,NetEase
GRUB,NYSE,STOCK,USD,0.01,GrubHub Inc. Common Stock ,GrubHub Inc. Common Stock 
RDN,NYSE,STOCK,USD,0.01,Radian Group Inc. Common Stock ,Radian Group Inc. Common Stock 
WAL,NYSE,STOCK,USD,0.01,Western Alliance Bancorporation Com,Western Alliance Bancorporation Com
WTFC,NASDAQ,STOCK,USD,0.01,Wintrust Financial Corporation Comm,Wintrust Financial Corporation Comm
PRI,NYSE,STOCK,USD,0.01,Primerica,Primerica
AMAT,NASDAQ,STOCK,USD,0.01,Applied Materials,Applied Materials
PLAY,NASDAQ,STOCK,USD,0.01,Dave ,Dave 
EXP,NYSE,STOCK,USD,0.01,Eagle Materials Inc Common Stock ,Eagle Materials Inc Common Stock 
UTHR,NASDAQ,STOCK,USD,0.01,United Therapeutics Corporation Com,United Therapeutics Corporation Com
VEEV,NYSE,STOCK,USD,0.01,Veeva Systems Inc. Class A Common S,Veeva Systems Inc. Class A Common S
MXL,NYSE,STOCK,USD,0.01,MaxLinear,MaxLinear
ZION,NASDAQ,STOCK,USD,0.01,Zions Bancorporation Common Stock ,Zions Bancorporation Common Stock 
COMM,NASDAQ,STOCK,USD,0.01,CommScope Holding Company,CommScope Holding Company
LOGM,NASDAQ,STOCK,USD,0.01,LogMeIn,LogMeIn
BPFH,NASDAQ,STOCK,USD,0.01,Boston Private Financial Holdings,Boston Private Financial Holdings
EWBC,NASDAQ,STOCK,USD,0.01,East West Bancorp,East West Bancorp
CGNX,NASDAQ,STOCK,USD,0.01,Cognex Corporation Common Stock ,Cognex Corporation Common Stock 
AVGO,NASDAQ,STOCK,USD,0.01,Broadcom Limited Ordinary Shares ,Broadcom Limited Ordinary Shares 
SCHW,NYSE,STOCK,USD,0.01,Charles Schwab Corporation  Co,Charles Schwab Corporation  Co
MSCC,NASDAQ,STOCK,USD,0.01,Microsemi Corporation Common Stock ,Microsemi Corporation Common Stock 
STL,NYSE,STOCK,USD,0.01,Sterling Bancorp ,Sterling Bancorp 
OZRK,NASDAQ,STOCK,USD,0.01,Bank of the Ozarks Common Stock ,Bank of the Ozarks Common Stock 
TCBI,NASDAQ,STOCK,USD,0.01,Texas Capital Bancshares,Texas Capital Bancshares
HOMB,NASDAQ,STOCK,USD,0.01,Home BancShares,Home BancShares
BC,NYSE,STOCK,USD,0.01,Brunswick Corporation Common Stock ,Brunswick Corporation Common Stock 
LRCX,NASDAQ,STOCK,USD,0.01,Lam Research Corporation Common Sto,Lam Research Corporation Common Sto
CMA,NYSE,STOCK,USD,0.01,Comerica Incorporated Common Stock ,Comerica Incorporated Common Stock 
MASI,NASDAQ,STOCK,USD,0.01,Masimo Corporation Common Stock ,Masimo Corporation Common Stock 
ULTA,NASDAQ,STOCK,USD,0.01,Ulta Beauty,Ulta Beauty
MTCH,NASDAQ,STOCK,USD,0.01,Match Group,Match Group
MPWR,NASDAQ,STOCK,USD,0.01,Monolithic Power Systems,Monolithic Power Systems
CAVM,NASDAQ,STOCK,USD,0.01,Cavium,Cavium
FRC,NYSE,STOCK,USD,0.01,FIRST REPUBLIC BANK Common Stock ,FIRST REPUBLIC BANK Common Stock 
QRVO,NASDAQ,STOCK,USD,0.01,Qorvo,Qorvo
TAL,NYSE,STOCK,USD,0.01,TAL Education Group American Deposi,TAL Education Group American Deposi
MCHP,NASDAQ,STOCK,USD,0.01,Microchip Technology Incorporated C,Microchip Technology Incorporated C
BABA,NYSE,STOCK,USD,0.01,Alibaba Group Holding Limited Ameri,Alibaba Group Holding Limited Ameri
JCOM,NASDAQ,STOCK,USD,0.01,j2 Global,j2 Global
NTES,NASDAQ,STOCK,USD,0.01,NetEase,NetEase
NVDA,NASDAQ,STOCK,USD,0.01,NVIDIA Corporation Common Stock ,NVIDIA Corporation Common Stock 
CGNX,NASDAQ,STOCK,USD,0.01,Cognex Corporation Common Stock ,Cognex Corporation Common Stock 
AEIS,NASDAQ,STOCK,USD,0.01,Advanced Energy Industries,Advanced Energy Industries
THO,NYSE,STOCK,USD,0.01,Thor Industries,Thor Industries
ANET,NYSE,STOCK,USD,0.01,Arista Networks,Arista Networks
MRCY,NASDAQ,STOCK,USD,0.01,Mercury Systems Inc Common Stock ,Mercury Systems Inc Common Stock 
MASI,NASDAQ,STOCK,USD,0.01,Masimo Corporation Common Stock ,Masimo Corporation Common Stock 
ESNT,NYSE,STOCK,USD,0.01,Essent Group Ltd. Common Shares ,Essent Group Ltd. Common Shares 
AMAT,NASDAQ,STOCK,USD,0.01,Applied Materials,Applied Materials
EVR,NYSE,STOCK,USD,0.01,Evercore Partners Inc Class A Commo,Evercore Partners Inc Class A Commo
HQY,NASDAQ,STOCK,USD,0.01,HealthEquity,HealthEquity
CFG,NYSE,STOCK,USD,0.01,Citizens Financial Group,Citizens Financial Group
BOFI,NASDAQ,STOCK,USD,0.01,BofI Holding,BofI Holding
ZION,NASDAQ,STOCK,USD,0.01,Zions Bancorporation Common Stock ,Zions Bancorporation Common Stock 
PLAY,NASDAQ,STOCK,USD,0.01,Dave ,Dave 
AVGO,NASDAQ,STOCK,USD,0.01,Broadcom Limited Ordinary Shares ,Broadcom Limited Ordinary Shares 
SBGI,NASDAQ,STOCK,USD,0.01,Sinclair Broadcast Group,Sinclair Broadcast Group
RDN,NYSE,STOCK,USD,0.01,Radian Group Inc. Common Stock ,Radian Group Inc. Common Stock 
WAL,NYSE,STOCK,USD,0.01,Western Alliance Bancorporation Com,Western Alliance Bancorporation Com
WTFC,NASDAQ,STOCK,USD,0.01,Wintrust Financial Corporation Comm,Wintrust Financial Corporation Comm
AMN,NYSE,STOCK,USD,0.01,AMN Healthcare Services Inc AMN Hea,AMN Healthcare Services Inc AMN Hea
MCHP,NASDAQ,STOCK,USD,0.01,Microchip Technology Incorporated C,Microchip Technology Incorporated C
EWBC,NASDAQ,STOCK,USD,0.01,East West Bancorp,East West Bancorp
VEEV,NYSE,STOCK,USD,0.01,Veeva Systems Inc. Class A Common S,Veeva Systems Inc. Class A Common S
BPFH,NASDAQ,STOCK,USD,0.01,Boston Private Financial Holdings,Boston Private Financial Holdings
STL,NYSE,STOCK,USD,0.01,Sterling Bancorp ,Sterling Bancorp 
TAL,NYSE,STOCK,USD,0.01,TAL Education Group American Deposi,TAL Education Group American Deposi
CMA,NYSE,STOCK,USD,0.01,Comerica Incorporated Common Stock ,Comerica Incorporated Common Stock 
TCBI,NASDAQ,STOCK,USD,0.01,Texas Capital Bancshares,Texas Capital Bancshares
COR,NYSE,STOCK,USD,0.01,CoreSite Realty Corporation Common ,CoreSite Realty Corporation Common 
MBLY,NYSE,STOCK,USD,0.01,Mobileye N.V. Ordinary Shares ,Mobileye N.V. Ordinary Shares 
BABA,NYSE,STOCK,USD,0.01,Alibaba Group Holding Limited Ameri,Alibaba Group Holding Limited Ameri
SCHW,NYSE,STOCK,USD,0.01,Charles Schwab Corporation  Co,Charles Schwab Corporation  Co
FRC,NYSE,STOCK,USD,0.01,FIRST REPUBLIC BANK Common Stock ,FIRST REPUBLIC BANK Common Stock 
ZBRA,NASDAQ,STOCK,USD,0.01,Zebra Technologies Corporation Clas,Zebra Technologies Corporation Clas
BC,NYSE,STOCK,USD,0.01,Brunswick Corporation Common Stock ,Brunswick Corporation Common Stock 
SNPS,NASDAQ,STOCK,USD,0.01,Synopsys,Synopsys
QRVO,NASDAQ,STOCK,USD,0.01,Qorvo,Qorvo
OZRK,NASDAQ,STOCK,USD,0.01,Bank of the Ozarks Common Stock ,Bank of the Ozarks Common Stock 
LRCX,NASDAQ,STOCK,USD,0.01,Lam Research Corporation Common Sto,Lam Research Corporation Common Sto
MOMO,NASDAQ,STOCK,USD,0.01,Momo Inc. American Depositary Share,Momo Inc. American Depositary Share
EXP,NYSE,STOCK,USD,0.01,Eagle Materials Inc Common Stock ,Eagle Materials Inc Common Stock 
MPWR,NASDAQ,STOCK,USD,0.01,Monolithic Power Systems,Monolithic Power Systems
HOMB,NASDAQ,STOCK,USD,0.01,Home BancShares,Home BancShares
CDW,NASDAQ,STOCK,USD,0.01,CDW Corporation Common Stock ,CDW Corporation Common Stock 
ATHM,NYSE,STOCK,USD,0.01,Autohome Inc. American Depositary S,Autohome Inc. American Depositary S
