AM,NYSE,STOCK,USD,0.01,Antero Midstream Partners LP Common,Antero Midstream Partners LP Common
PAYC,NYSE,STOCK,USD,0.01,Paycom Software,Paycom Software
RMP,NYSE,STOCK,USD,0.01,Rice Midstream Partners LP Common U,Rice Midstream Partners LP Common U
ACIA,NASDAQ,STOCK,USD,0.01,Acacia Communications,Acacia Communications
INGN,NASDAQ,STOCK,USD,0.01,Inogen,Inogen
LGIH,NASDAQ,STOCK,USD,0.01,LGI Homes,LGI Homes
VEEV,NYSE,STOCK,USD,0.01,Veeva Systems Inc. Class A Common S,Veeva Systems Inc. Class A Common S
PCTY,NASDAQ,STOCK,USD,0.01,Paylocity Holding Corporation Commo,Paylocity Holding Corporation Commo
GKOS,NYSE,STOCK,USD,0.01,Glaukos Corporation Common Stock ,Glaukos Corporation Common Stock 
QTS,NYSE,STOCK,USD,0.01,QTS Realty Trust,QTS Realty Trust
NSA,NYSE,STOCK,USD,0.01,National Storage Affiliates Trust C,National Storage Affiliates Trust C
ANET,NYSE,STOCK,USD,0.01,Arista Networks,Arista Networks
PAYC,NYSE,STOCK,USD,0.01,Paycom Software,Paycom Software
HQY,NASDAQ,STOCK,USD,0.01,HealthEquity,HealthEquity
MBLY,NYSE,STOCK,USD,0.01,Mobileye N.V. Ordinary Shares ,Mobileye N.V. Ordinary Shares 
MOMO,NASDAQ,STOCK,USD,0.01,Momo Inc. American Depositary Share,Momo Inc. American Depositary Share
KRNT,NASDAQ,STOCK,USD,0.01,Kornit Digital Ltd. Ordinary Shares,Kornit Digital Ltd. Ordinary Shares
WB,NASDAQ,STOCK,USD,0.01,Weibo Corporation American Deposita,Weibo Corporation American Deposita
BABA,NYSE,STOCK,USD,0.01,Alibaba Group Holding Limited Ameri,Alibaba Group Holding Limited Ameri
ATH,NYSE,STOCK,USD,0.01,Athene Holding Ltd. Class A Common ,Athene Holding Ltd. Class A Common 
PLNT,NYSE,STOCK,USD,0.01,Planet Fitness,Planet Fitness
AM,NYSE,STOCK,USD,0.01,Antero Midstream Partners LP Common,Antero Midstream Partners LP Common
RMP,NYSE,STOCK,USD,0.01,Rice Midstream Partners LP Common U,Rice Midstream Partners LP Common U
GKOS,NYSE,STOCK,USD,0.01,Glaukos Corporation Common Stock ,Glaukos Corporation Common Stock 
JD,NASDAQ,STOCK,USD,0.01,JD.com,JD.com
VNOM,NASDAQ,STOCK,USD,0.01,Viper Energy Partners LP Common Uni,Viper Energy Partners LP Common Uni
ZAYO,NYSE,STOCK,USD,0.01,Zayo Group Holdings,Zayo Group Holdings
TRVG,NASDAQ,STOCK,USD,0.01,trivago N.V. American Depositary Sh,trivago N.V. American Depositary Sh
FPI,NYSE,STOCK,USD,0.01,Farmland Partners Inc. Common Stock,Farmland Partners Inc. Common Stock
