WWE,86.78,87.99,86.78,87.64,   87.47,2018-09-10,     <==GOOD to buy==
GRUB,142.13,142.13,138.09,141.01,   140.41,2018-09-10,     <==GOOD to buy==
ABMD,381.27,389.56,378.57,388.58,   385.57,2018-09-10,     <==GOOD to buy==
PAYC,156.66,157.47,154.14,156.98,   156.2,2018-09-10,     <==GOOD to buy==
VNOM,38.87,38.96,38.52,38.57,   38.68,2018-09-10,     ==No !! =======>
VEEV,103.39,103.39,101.27,102.46,   102.37,2018-09-10,     <==GOOD to buy==
FIVE,131.93,133.69,131.18,133.16,   132.68,2018-09-10,     <==GOOD to buy==
LGND,256.12,258.23,253.02,256.32,   255.86,2018-09-10,     <==GOOD to buy==
FTNT,86.13,87.99,85.58,87.85,   87.14,2018-09-10,     <==GOOD to buy==
TTD,143.55,145.45,140.1,142.44,   142.66,2018-09-10,     ==No !! =======>
NOW,199.88,199.88,195.5,199.01,   198.13,2018-09-10,     <==GOOD to buy==
MTCH,52.04,53.74,50.84,53.28,   52.62,2018-09-10,     <==GOOD to buy==
ALGN,370.89,376.49,367.41,374.78,   372.89,2018-09-10,     <==GOOD to buy==
ILMN,346.8,349.64,342.99,349.37,   347.33,2018-09-10,     <==GOOD to buy==
MEDP,58.71,61.69,58.4,61.56,   60.55,2018-09-10,     <==GOOD to buy==
TREX,85.47,90.14,85.31,89.15,   88.2,2018-09-10,     <==GOOD to buy==
HIIQ,56.1,56.85,54.1,54.7,   55.22,2018-09-10,     ==No !! =======>
TEAM,87.96,88.55,85.44,87.96,   87.31,2018-09-10,     <==GOOD to buy==
PANW,228.32,237.81,228.32,236.12,   234.09,2018-09-10,     <==GOOD to buy==
NFLX,352.27,352.5,343.08,348.41,   348.0,2018-09-10,     <==GOOD to buy==
ALRM,55.49,57.0,55.44,56.95,   56.46,2018-09-10,     <==GOOD to buy==
SIVB,324.07,327.65,322.4,324.13,   324.73,2018-09-10,     ==No !! =======>
CPRT,65.91,66.37,65.81,65.91,   66.03,2018-09-10,     ==No !! =======>
WING,70.21,70.37,67.36,67.48,   68.4,2018-09-10,     ==No !! =======>
CYBR,77.0,77.0,75.09,76.5,   76.2,2018-09-10,     <==GOOD to buy==
LULU,151.5,154.78,151.5,154.11,   153.46,2018-09-10,     <==GOOD to buy==
NANO,40.18,40.38,38.62,38.87,   39.29,2018-09-10,     ==No !! =======>
MOMO,45.05,45.05,42.54,42.8,   43.46,2018-09-10,     ==No !! =======>
PLNT,50.69,51.01,50.06,50.75,   50.61,2018-09-10,     <==GOOD to buy==
PGTI,25.6,26.4,25.5,26.2,   26.03,2018-09-10,     <==GOOD to buy==
IDTI,43.0,43.0,41.55,42.08,   42.21,2018-09-10,     ==No !! =======>
EHC,79.68,79.85,78.9,79.27,   79.34,2018-09-10,     ==No !! =======>
ADBE,264.27,265.93,260.79,265.37,   264.03,2018-09-10,     <==GOOD to buy==
CTRL,35.18,36.39,34.9,36.02,   35.77,2018-09-10,     <==GOOD to buy==
OEC,33.65,33.95,33.0,33.15,   33.37,2018-09-10,     ==No !! =======>
ALSN,50.85,51.63,50.85,51.54,   51.34,2018-09-10,     <==GOOD to buy==
MA,212.66,213.48,211.38,211.67,   212.18,2018-09-10,     ==No !! =======>
AEO,24.69,25.39,24.64,25.19,   25.07,2018-09-10,     <==GOOD to buy==
ODFL,166.53,170.03,166.37,167.58,   167.99,2018-09-10,     ==No !! =======>
ULTA,287.06,287.44,284.27,285.96,   285.89,2018-09-10,     <==GOOD to buy==
BRKS,36.47,37.22,35.55,35.86,   36.21,2018-09-10,     ==No !! =======>
MPWR,149.06,149.31,145.02,146.53,   146.95,2018-09-10,     ==No !! =======>
RP,61.35,62.3,60.7,61.55,   61.52,2018-09-10,     <==GOOD to buy==
PRAH,107.56,109.54,106.73,109.24,   108.5,2018-09-10,     <==GOOD to buy==
TRU,74.86,76.42,74.68,75.87,   75.66,2018-09-10,     <==GOOD to buy==
UBNT,90.1,90.13,87.12,89.39,   88.88,2018-09-10,     <==GOOD to buy==
KEM,21.6,21.86,20.74,21.39,   21.33,2018-09-10,     <==GOOD to buy==
V,144.13,144.44,143.21,144.08,   143.91,2018-09-10,     <==GOOD to buy==
DG,111.39,112.06,110.79,111.45,   111.43,2018-09-10,     <==GOOD to buy==
JAZZ,167.8,168.3,165.2,165.96,   166.49,2018-09-10,     ==No !! =======>
