AAL,2018-11-23,36.66,38.27,36.66,37.95,37.63,Stay Long
ACB,2018-11-23,6.08,6.11,5.97,6.07,6.05,Stay Long
ACHC,2018-11-23,31.76,31.91,30.88,31.65,31.48,Stay Long
ADBE,2018-11-23,222.71,227.74,222.51,225.56,225.27,Stay Long
ADP,2018-11-23,139.54,141.91,139.54,140.89,140.78,Stay Long
AEIS,2018-11-23,42.85,44.02,42.60,43.32,43.31,Stay Long
AEO,2018-11-23,19.27,19.70,19.26,19.54,19.50,Stay Long
ALGN,2018-11-23,214.88,220.56,214.21,218.87,217.88,Stay Long
ALLK,2018-11-23,52.37,56.88,52.00,55.74,54.87,Stay Long
ALRM,2018-11-23,44.72,46.49,44.47,46.00,45.65,Stay Long
ALSN,2018-11-23,47.06,47.86,47.03,47.77,47.55,Stay Long
AMD,2018-11-23,18.61,19.83,18.56,19.38,19.26,Stay Long
AMED,2018-11-23,119.25,123.50,118.21,122.46,121.39,Stay Long
APA,2018-11-23,34.75,35.09,34.20,34.86,34.72,Stay Long
APTI,2018-11-23,37.75,38.17,37.75,38.00,37.97,Stay Long
AQ,2018-11-23,9.52,10.11,9.52,9.87,9.83,Stay Long
ASGN,2018-11-23,67.08,68.19,67.08,67.85,67.71,Stay Long
ASML,2018-11-23,162.12,164.53,162.12,163.66,163.44,Stay Long
AYX,2018-11-23,51.44,54.44,51.44,53.85,53.24,Stay Long
BABA,2018-11-23,147.30,151.17,147.00,150.33,149.50,Stay Long
BAND,2018-11-23,43.03,44.76,42.38,44.08,43.74,Stay Long
BBT,2018-11-23,49.97,50.79,49.78,50.37,50.31,Stay Long
BBY,2018-11-23,61.99,62.97,61.88,62.55,62.47,Stay Long
BEAT,2018-11-23,60.67,62.95,59.99,61.51,61.48,Stay Long
BIDU,2018-11-23,181.38,183.31,181.00,182.61,182.31,Stay Long
BIIB,2018-11-23,313.81,324.45,313.28,320.08,319.27,Stay Long
BILI,2018-11-23,14.53,15.06,14.20,14.98,14.75,Stay Long
BIO,2018-11-23,267.72,275.25,267.72,273.04,272.00,Stay Long
BJ,2018-11-23,21.81,22.30,21.39,21.89,21.86,Stay Long
BKNG,2018-11-23,1750.72,1776.41,1737.26,1764.08,1759.25,Stay Long
BOOT,2018-11-23,20.25,20.81,20.18,20.54,20.51,Stay Long
BP,2018-11-23,39.88,40.09,39.50,39.89,39.83,Stay Long
BRKS,2018-11-23,24.81,26.35,24.71,25.67,25.58,Stay Long
CASA,2018-11-23,14.64,15.43,14.64,15.09,15.05,Stay Long
CBOE,2018-11-23,106.55,108.02,106.33,107.39,107.25,Stay Long
CCMP,2018-11-23,98.79,101.79,98.01,100.07,99.96,Stay Long
CERN,2018-11-23,56.25,57.31,56.21,56.91,56.81,Stay Long
CEVA,2018-11-23,25.56,26.15,25.56,25.94,25.88,Stay Long
CHKP,2018-11-23,106.79,109.90,106.62,109.14,108.55,Stay Long
CHTR,2018-11-23,302.93,311.70,302.46,309.43,307.86,Stay Long
CLR,2018-11-23,44.60,45.06,43.53,44.68,44.42,Stay Long
CMA,2018-11-23,78.38,78.87,77.33,78.37,78.19,Stay Long
CMD,2018-11-23,84.49,85.68,83.63,84.80,84.70,Stay Long
CMPR,2018-11-23,113.68,115.85,111.57,114.16,113.86,Stay Long
COLL,2018-11-23,17.94,18.90,17.68,18.32,18.30,Stay Long
COST,2018-11-23,218.10,221.18,217.66,220.06,219.63,Stay Long
