AAL,2018-11-23,36.76,38.27,34.86,37.95,37.03,Stay Long
ABMD,2018-11-23,316.03,316.32,280.83,299.41,298.85,Stay Long
ACB,2018-11-23,6.23,6.37,5.62,6.07,6.02,Stay Long
ACHC,2018-11-23,32.41,33.48,28.63,31.65,31.25,Stay Long
ADBE,2018-11-23,237.50,238.65,207.02,225.56,223.74,Stay Long
ADI,2018-11-23,89.62,90.83,83.84,88.64,87.77,Stay Long
ADSK,2018-11-23,134.21,139.40,120.10,132.69,130.73,Stay Long
AEIS,2018-11-23,43.40,44.02,41.05,43.32,42.80,Stay Long
AEO,2018-11-23,20.25,20.50,18.51,19.54,19.52,Stay Long
AIRG,2018-11-23,12.70,12.99,12.05,12.71,12.58,Stay Long
ALGN,2018-11-23,223.85,223.95,188.57,218.87,210.46,Stay Long
ALLK,2018-11-23,59.22,59.38,52.00,55.74,55.71,Stay Long
ALRM,2018-11-23,48.00,48.40,43.52,46.00,45.97,Stay Long
ALSN,2018-11-23,47.41,48.35,46.13,47.77,47.42,Stay Long
ALXN,2018-11-23,118.86,120.44,113.16,118.10,117.23,Stay Long
AMAT,2018-11-23,35.24,36.92,33.14,35.05,35.04,Stay Long
AMD,2018-11-23,20.40,20.59,17.18,19.38,19.05,Stay Long
AMED,2018-11-23,126.00,126.98,115.45,122.46,121.63,Stay Long
AMZN,2018-11-23,1577.01,1581.19,1420.00,1502.06,1501.08,Stay Long
APTI,2018-11-23,37.69,38.17,37.61,38.00,37.93,Stay Long
AQ,2018-11-23,9.83,10.24,8.92,9.87,9.68,Stay Long
ASGN,2018-11-23,67.81,68.39,65.43,67.85,67.22,Stay Long
ASML,2018-11-23,168.25,168.54,156.58,163.66,162.93,Stay Long
ATVI,2018-11-23,50.81,51.21,46.83,50.05,49.36,Stay Long
AYX,2018-11-23,59.71,60.37,47.07,53.85,53.76,Stay Long
AZUL,2018-11-23,27.54,28.17,26.35,27.52,27.35,Stay Long
BABA,2018-11-23,152.02,153.21,142.82,150.33,148.79,Stay Long
BBBY,2018-11-23,12.70,13.15,11.99,12.75,12.63,Stay Long
