SYNL,NASDAQ,STOCK,USD,0.01,Synalloy Corporation Common Stock (,Synalloy Corporation Common Stock (
TX,NYSE,STOCK,USD,0.01,Ternium S.A. Ternium S.A. American ,Ternium S.A. Ternium S.A. American
MTL,NYSE,STOCK,USD,0.01,Mechel PAO American Depositary Shar,Mechel PAO American Depositary Shar
CMC,NYSE,STOCK,USD,0.01,Commercial Metals Company Common St,Commercial Metals Company Common St
ZEUS,NASDAQ,STOCK,USD,0.01,Olympic Steel,Olympic Steel
MT,NYSE,STOCK,USD,0.01,Arcelor Mittal NY Registry Shares N,Arcelor Mittal NY Registry Shares N
SID,NYSE,STOCK,USD,0.01,Companhia Siderurgica Nacional S.A.,Companhia Siderurgica Nacional S.A.
AP,NYSE,STOCK,USD,0.01,Ampco-Pittsburgh Corporation Common,Ampco-Pittsburgh Corporation Common
SXCP,NYSE,STOCK,USD,0.01,SunCoke Energy Partners,SunCoke Energy Partners
PKX,NYSE,STOCK,USD,0.01,POSCO Common Stock (PKX),POSCO Common Stock (PKX)
TMST,NYSE,STOCK,USD,0.01,Timken Steel Corporation Common Sha,Timken Steel Corporation Common Sha
STLD,NASDAQ,STOCK,USD,0.01,Steel Dynamics,Steel Dynamics
RS,NYSE,STOCK,USD,0.01,Reliance Steel ,Reliance Steel
CRS,NYSE,STOCK,USD,0.01,Carpenter Technology Corporation Co,Carpenter Technology Corporation Co
VALE,NYSE,STOCK,USD,0.01,VALE S.A.  American Depositary Shar,VALE S.A.  American Depositary Shar
X,NYSE,STOCK,USD,0.01,United States Steel Corporation Com,United States Steel Corporation Com
MSB,NYSE,STOCK,USD,0.01,Mesabi Trust Common Stock (MSB),Mesabi Trust Common Stock (MSB)
NUE,NYSE,STOCK,USD,0.01,Nucor Corporation Common Stock (NUE,Nucor Corporation Common Stock (NUE
RYI,NYSE,STOCK,USD,0.01,Ryerson Holding Corporation Common ,Ryerson Holding Corporation Common
AKS,NYSE,STOCK,USD,0.01,AK Steel Holding Corporation Common,AK Steel Holding Corporation Common
HAYN,NASDAQ,STOCK,USD,0.01,Haynes International,Haynes International
SCHN,NASDAQ,STOCK,USD,0.01,Schnitzer Steel Industries,Schnitzer Steel Industries
ATI,NYSE,STOCK,USD,0.01,Allegheny Technologies Incorporated,Allegheny Technologies Incorporated
WOR,NYSE,STOCK,USD,0.01,Worthington Industries,Worthington Industries
CLF,NYSE,STOCK,USD,0.01,Cliffs Natural Resources Inc Common,Cliffs Natural Resources Inc Common
SXC,NYSE,STOCK,USD,0.01,SunCoke Energy,SunCoke Energy
RIO,NYSE,STOCK,USD,0.01,Rio Tinto Plc Common Stock (RIO),Rio Tinto Plc Common Stock (RIO)
VALE,NYSE,STOCK,USD,0.01,VALE S.A.  American Depositary Shar,VALE S.A.  American Depositary Shar
VEDL,NYSE,STOCK,USD,0.01,Vedanta Limited  American Depositar,Vedanta Limited  American Depositar
