XRT,Pacific,STOCK,USD,0.01,SPDR S&P Retail ETF (XRT),SPDR S&P Retail ETF (XRT)
AMZN,NASDAQ,STOCK,USD,0.01,Amazon.com,Amazon.com
MIK,NASDAQ,STOCK,USD,0.01,The Michaels Companies,The Michaels Companies
CASY,NASDAQ,STOCK,USD,0.01,Casey,Casey
ULTA,NASDAQ,STOCK,USD,0.01,Ulta Beauty,Ulta Beauty
PSMT,NASDAQ,STOCK,USD,0.01,PriceSmart,PriceSmart
LTRPA,NASDAQ,STOCK,USD,0.01,Liberty TripAdvisor Holdings,Liberty TripAdvisor Holdings
CVS,NYSE,STOCK,USD,0.01,CVS Health Corporation Common Stock (CVS),CVS Health Corporation Common Stock (CVS)
TRIP,NASDAQ,STOCK,USD,0.01,TripAdvisor,TripAdvisor
GPI,NYSE,STOCK,USD,0.01,Group 1 Automotive,Group 1 Automotive
SFLY,NASDAQ,STOCK,USD,0.01,Shutterfly,Shutterfly
TSCO,NASDAQ,STOCK,USD,0.01,Tractor Supply Company Common Stock (TSCO),Tractor Supply Company Common Stock (TSCO)
FINL,NASDAQ,STOCK,USD,0.01,Finish Line,Finish Line
MUSA,NYSE,STOCK,USD,0.01,Murphy USA Inc. Common Stock (MUSA),Murphy USA Inc. Common Stock (MUSA)
CAB,NYSE,STOCK,USD,0.01,Cabela,Cabela
RAD,NYSE,STOCK,USD,0.01,Rite Aid Corporation Common Stock (RAD),Rite Aid Corporation Common Stock (RAD)
MNRO,NASDAQ,STOCK,USD,0.01,Monro Muffler Brake,Monro Muffler Brake
WMT,NYSE,STOCK,USD,0.01,Wal-Mart Stores,Wal-Mart Stores
DLTR,NASDAQ,STOCK,USD,0.01,Dollar Tree Inc. Common Stock (DLTR),Dollar Tree Inc. Common Stock (DLTR)
PLCE,NASDAQ,STOCK,USD,0.01,Children,Children
WBA,NASDAQ,STOCK,USD,0.01,Walgreens Boots Alliance,Walgreens Boots Alliance
KMX,NYSE,STOCK,USD,0.01,CarMax Inc (KMX),CarMax Inc (KMX)
TJX,NYSE,STOCK,USD,0.01,TJX Companies,TJX Companies
FIVE,NASDAQ,STOCK,USD,0.01,Five Below,Five Below
EXPE,NASDAQ,STOCK,USD,0.01,Expedia,Expedia
DG,NYSE,STOCK,USD,0.01,Dollar General Corporation Common Stock (DG),Dollar General Corporation Common Stock (DG)
BIG,NYSE,STOCK,USD,0.01,Big Lots,Big Lots
GCO,NYSE,STOCK,USD,0.01,Genesco Inc. Common Stock (GCO),Genesco Inc. Common Stock (GCO)
BURL,NYSE,STOCK,USD,0.01,Burlington Stores,Burlington Stores
AZO,NYSE,STOCK,USD,0.01,AutoZone,AutoZone
COST,NASDAQ,STOCK,USD,0.01,Costco Wholesale Corporation Common Stock (COST),Costco Wholesale Corporation Common Stock (COST)
ORLY,NASDAQ,STOCK,USD,0.01,O,O
PCLN,NASDAQ,STOCK,USD,0.01,The Priceline Group Inc. Common Stock (PCLN),The Priceline Group Inc. Common Stock (PCLN)
CST,NYSE,STOCK,USD,0.01,CST Brands,CST Brands
GME,NYSE,STOCK,USD,0.01,Gamestop Corporation Common Stock (GME),Gamestop Corporation Common Stock (GME)
ROST,NASDAQ,STOCK,USD,0.01,Ross Stores,Ross Stores
HIBB,NASDAQ,STOCK,USD,0.01,Hibbett Sports,Hibbett Sports
SIG,NYSE,STOCK,USD,0.01,Signet Jewelers Limited Common Shares (SIG),Signet Jewelers Limited Common Shares (SIG)
AAP,NYSE,STOCK,USD,0.01,Advance Auto Parts Inc Advance Auto Parts Inc W,Advance Auto Parts Inc Advance Auto Parts Inc W
SBH,NYSE,STOCK,USD,0.01,Sally Beauty Holdings,Sally Beauty Holdings
SFM,NASDAQ,STOCK,USD,0.01,Sprouts Farmers Market,Sprouts Farmers Market
TIF,NYSE,STOCK,USD,0.01,Tiffany & Co. Common Stock (TIF),Tiffany & Co. Common Stock (TIF)
WFM,NASDAQ,STOCK,USD,0.01,Whole Foods Market,Whole Foods Market
BBY,NYSE,STOCK,USD,0.01,Best Buy Co.,Best Buy Co.
TGT,NYSE,STOCK,USD,0.01,Target Corporation Common Stock (TGT),Target Corporation Common Stock (TGT)
NFLX,NASDAQ,STOCK,USD,0.01,Netflix,Netflix
RCII,NASDAQ,STOCK,USD,0.01,Rent-A-Center Inc. Common Stock (RCII),Rent-A-Center Inc. Common Stock (RCII)
AN,NYSE,STOCK,USD,0.01,AutoNation,AutoNation
CHS,NYSE,STOCK,USD,0.01,Chico,Chico
FL,NYSE,STOCK,USD,0.01,Foot Locker,Foot Locker
DKS,NYSE,STOCK,USD,0.01,Dick,Dick
ABG,NYSE,STOCK,USD,0.01,Asbury Automotive Group Inc Common Stock (ABG),Asbury Automotive Group Inc Common Stock (ABG)
HSNI,NASDAQ,STOCK,USD,0.01,HSN,HSN
KR,NYSE,STOCK,USD,0.01,Kroger Company (The) Common Stock (KR),Kroger Company (The) Common Stock (KR)
VSI,NYSE,STOCK,USD,0.01,Vitamin Shoppe,Vitamin Shoppe
PAG,NYSE,STOCK,USD,0.01,Penske Automotive Group,Penske Automotive Group
GNC,NYSE,STOCK,USD,0.01,GNC Holdings,GNC Holdings
SPLS,NASDAQ,STOCK,USD,0.01,Staples,Staples
DSW,NYSE,STOCK,USD,0.01,DSW Inc. Common Stock (DSW),DSW Inc. Common Stock (DSW)
LAD,NYSE,STOCK,USD,0.01,Lithia Motors,Lithia Motors
BKS,NYSE,STOCK,USD,0.01,Barnes & Noble,Barnes & Noble
W,NYSE,STOCK,USD,0.01,Wayfair Inc. Class A Common Stock (W),Wayfair Inc. Class A Common Stock (W)
AEO,NYSE,STOCK,USD,0.01,American Eagle Outfitters,American Eagle Outfitters
GRPN,NASDAQ,STOCK,USD,0.01,Groupon,Groupon
TLRD,NYSE,STOCK,USD,0.01,Tailored Brands,Tailored Brands
SVU,NYSE,STOCK,USD,0.01,SuperValu Inc. Common Stock (SVU),SuperValu Inc. Common Stock (SVU)
URBN,NASDAQ,STOCK,USD,0.01,Urban Outfitters,Urban Outfitters
JWN,NYSE,STOCK,USD,0.01,Nordstrom,Nordstrom
EXPR,NYSE,STOCK,USD,0.01,Express,Express
FRAN,NASDAQ,STOCK,USD,0.01,Francesca,Francesca
KSS,NYSE,STOCK,USD,0.01,Kohl,Kohl
NTRI,NASDAQ,STOCK,USD,0.01,NutriSystem Inc Common Stock (NTRI),NutriSystem Inc Common Stock (NTRI)
LB,NYSE,STOCK,USD,0.01,L Brands,L Brands
SHLD,NASDAQ,STOCK,USD,0.01,Sears Holdings Corporation Common Stock (SHLD),Sears Holdings Corporation Common Stock (SHLD)
BKE,NYSE,STOCK,USD,0.01,Buckle,Buckle
ANF,NYSE,STOCK,USD,0.01,Abercrombie & Fitch Company Common Stock (ANF),Abercrombie & Fitch Company Common Stock (ANF)
DDS,NYSE,STOCK,USD,0.01,Dillard,Dillard
GES,NYSE,STOCK,USD,0.01,Guess?,Guess?
ASNA,NASDAQ,STOCK,USD,0.01,Ascena Retail Group,Ascena Retail Group
M,NYSE,STOCK,USD,0.01,Macy,Macy
JCP,NYSE,STOCK,USD,0.01,J.C. Penney Company,J.C. Penney Company
ODP,NASDAQ,STOCK,USD,0.01,Office Depot,Office Depot
SAH,NYSE,STOCK,USD,0.01,Sonic Automotive,Sonic Automotive
GPS,NYSE,STOCK,USD,0.01,Gap,Gap
CONN,NASDAQ,STOCK,USD,0.01,Conn,Conn
IMKTA,NASDAQ,STOCK,USD,0.01,Ingles Markets,Ingles Markets
CAL,NYSE,STOCK,USD,0.01,Caleres,Caleres
