Group	Desc	Stocks	Group											
 Steel-Producers	Steel Dynamics Inc	STLD	 Steel-Producers	 99.1 91 90 96 47 D B+ 11 69 6.3 8 96 58										
 Utility-Water Supply	S J W Group	SJW	 Utility-Water Supply	 88.8 95 97 94 99 A A 27 90 10.2 35 99 35										
Aerospace/Defense	Digitalglobe Inc	DGI	 Aerospace/Defense	 83.0 81 78 91 98 D B+ 88 159 1.8 5 88 70	 83.0 81 78 91 98 D B+ 88 159 1.8 5 88 70									
Auto/Truck-Original Eqp	Lydall Inc	LDL	 Auto/Truck-Original Eqp	 74.3 98 96 96 99 B A- 34 26 15.7 19 8 56										
Banks-Southeast	Hancock Hldg Co	HBHC	 Banks-Southeast	 71.2 86 60 96 95 C B -16 -34 5.8 6 21 46										
Banks-West/Southwest	Independent Bank Group	IBTX	 Banks-West/Southwest	 95.0 99 96 98 99 A A+ 23 21 7.2 23 63 36										
Bldg-HeavyConstruction	Argan Inc	AGX	Bldg-HeavyConstruction	     117.8 98 98 98 86 A A- 8 61 18 54 0 46										
Bldg-HeavyConstruction	Mastec Inc	MTZ	Bldg-HeavyConstruction	     120.1 95 81 97 77 C A -28 73 5 43 101 58										
Bldg-HeavyConstruction	Quanta Services Inc	PWR	Bldg-HeavyConstruction	 72.1 87 63 93 63 D A+ -17 -6 5.7 5 15 58										
Bldg-Maintenance & Svc	M Y R Group Inc	MYRG	Bldg-Maintenance & Svc	 82.8 78 58 95 99 D B+ -15 -37 8.4 5 0 62										
Bldg-Mobile/Mfg & Rv	Drew Industries Inc	DW	Bldg-Mobile/Mfg & Rv	 77.0 98 99 91 33 A A- 30 78 18.7 19 11 67										
Bldg-Mobile/Mfg & Rv	Patrick Industries Inc	PATK	Bldg-Mobile/Mfg & Rv	 75.4 99 97 93 66 A B 37 44 36.5 42 151 58										
Bldg-Mobile/Mfg & Rv	Thor Industries Inc	THO	Bldg-Mobile/Mfg & Rv	 78.2 99 97 94 83 A A+ 23 35 22.6 66 28 53										
Chemicals-Basic	Braskem Sa Adr	BAK	Chemicals-Basic	 74.2 81 56 97 99 B C+ 55 -6 58.2 13 1330 8										
Chemicals-Plastics	Kraton Corporation	KRA	Chemicals-Plastics	 71.5 88 98 79 61 A D 48 94 15.8 69 120 62										
Chemicals-Plastics	Trinseo SA	TSE	Chemicals-Plastics	  110.3 88 72 93 92 C B 263 114 63.3 -9 309 99										
Chemicals-Specialty	Innophos Holdings Inc	IPHS	Chemicals-Specialty	 80.3 78 53 95 77 D B+ -6 -8 11.7 -7 63 56										
Chemicals-Specialty	Koppers Holdings Inc	KOP	Chemicals-Specialty	    120.8 85 68 96 84 C A- -11 103 121.2 -14 52										
Chemicals-Specialty	U S Silica Holdings Inc 	SLCA	Chemicals-Specialty	 202.6 55 9 99 99 E B 2.4 -11 127 65										
Comml Svcs-Consulting	Science Applications Inc	SAIC	Comml Svcs-Consulting	 85.2 88 91 94 91 B C 11 16 37.4 -2 267 45										
Comml Svcs-Healthcare	Cotiviti Holdings Inc	COTV	Comml Svcs-Healthcare	 81.1 84 65 96 93 B B+ 179 9.9 14 129 51										
