 10/25/16,MSM, 10/25/16
 10/26/16,CMC, 10/26/16
 10/4/16,PEP, 10/4/16
 7/14/16,DAL, 7/14/16
 7/18/16,LII, 7/18/16
 7/18/16,JBHT, 7/18/16
 7/19/16,PM, 7/19/16
 7/20/16,ITW, 7/20/16
 7/20/16,QCOM, 7/20/16
 7/21/16,SHW, 7/21/16
 7/21/16,HA, 7/21/16
 7/21/16,PPG, 7/21/16
 7/21/16,RS, 7/21/16
 7/21/16,SNA, 7/21/16
 7/22/16,VLRS, 7/22/16
 7/25/16,KMB, 7/25/16
 7/25/16,EOCC, 7/25/16
 7/25/16,GILD, 7/25/16
 7/25/16,SOHU, 7/25/16
 7/26/16,CTXS, 7/26/16
 7/26/16,MAS, 7/26/16
 7/26/16,BAX, 7/26/16
 7/26/16,NCR, 7/26/16
 7/26/16,EQR, 7/26/16
 7/26/16,AMG, 7/26/16
 7/27/16,CW, 7/27/16
 7/27/16,ABX, 7/27/16
 7/27/16,WYN, 7/27/16
 7/28/16,EIX, 7/28/16
 7/28/16,LEA, 7/28/16
 7/28/16,VC, 7/28/16
 7/29/16,CVX, 7/29/16
 8/1/16,TSE, 8/1/16
 8/1/16,NI, 8/1/16
 8/1/16,PPS, 8/1/16
 8/1/16,GRA, 8/1/16
 8/1/16,TSRA, 8/1/16
 8/10/16,AIT, 8/10/16
 8/11/16,KEP, 8/11/16
 8/15/16,A, 8/15/16
 8/15/16,SYY, 8/15/16
 8/18/16,TTC, 8/18/16
 8/18/16,HPQ, 8/18/16
 8/2/16,DW, 8/2/16
 8/2/16,HIW, 8/2/16
 8/2/16,GEO, 8/2/16
 8/2/16,NWN, 8/2/16
 8/2/16,PZZA, 8/2/16
 8/2/16,WR, 8/2/16
 8/2/16,AFG, 8/2/16
 8/2/16,NFX, 8/2/16
 8/2/16,CVG, 8/2/16
 8/2/16,FSLR, 8/2/16
 8/22/16,PINC, 8/22/16
 8/24/16,EXPR, 8/24/16
 8/26/16,BIG, 8/26/16
 8/26/16,PKX, 8/26/16
 8/3/16,MO, 8/3/16
 8/3/16,NTT, 8/3/16
 8/3/16,BWXT, 8/3/16
 8/3/16,ACXM, 8/3/16
 8/3/16,AGO, 8/3/16
 8/3/16,SPR, 8/3/16
 8/3/16,Q, 8/3/16
 8/3/16,MSI, 8/3/16
 8/3/16,GT, 8/3/16
 8/4/16,KORS, 8/4/16
 8/4/16,CPS, 8/4/16
 8/4/16,APA, 8/4/16
 8/4/16,IX, 8/4/16
 8/8/16,DF, 8/8/16
 8/9/16,MYGN, 8/9/16
 9/14/16,HDS, 9/14/16
 9/21/16,ORCL, 9/21/16
 9/27/16,CAG, 9/27/16
 9/27/16,CCL, 9/27/16
 9/27/16,DRI, 9/27/16
 NA,KT, NA
 None,, None
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,SHY,
