QQQ,NASDAQ,STOCK,USD,0.01,PowerShares QQQ Trust,PowerShares QQQ Trust
DIA,Pacific,STOCK,USD,0.01,SPDR Dow Jones Industrial Average ETF (DIA),SPDR Dow Jones Industrial Average ETF (DIA)
SPY,Pacific,STOCK,USD,0.01,SPDR S&P 500 (SPY),SPDR S&P 500 (SPY)
USO,Pacific,STOCK,USD,0.01,United States Oil Fund (USO),United States Oil Fund (USO)
GLD,Pacific,STOCK,USD,0.01,SPDR Gold Trust (GLD),SPDR Gold Trust (GLD)
SLV,Pacific,STOCK,USD,0.01,iShares Silver Trust (SLV),iShares Silver Trust (SLV)
SLX,Pacific,STOCK,USD,0.01,VanEck Vectors Steel ETF (SLX),VanEck Vectors Steel ETF (SLX)
EEM,Pacific,STOCK,USD,0.01,iShares MSCI Emerging Index Fund (EEM),iShares MSCI Emerging Index Fund (EEM)
FAS,Pacific,STOCK,USD,0.01,Direxion Financial Bull 3X Shares (FAS),Direxion Financial Bull 3X Shares (FAS)
FAZ,Pacific,STOCK,USD,0.01,Direxion Financial Bear 3X Shares (FAZ),Direxion Financial Bear 3X Shares (FAZ)
ERY,Pacific,STOCK,USD,0.01,Direxion Daily Energy Bear 3X Shares (ERY),Direxion Daily Energy Bear 3X Shares (ERY)
ERX,Pacific,STOCK,USD,0.01,Direxion Energy Bull 3X Shares (ERX),Direxion Energy Bull 3X Shares (ERX)
QID,Pacific,STOCK,USD,0.01,ProShares UltraShort QQQ (QID),ProShares UltraShort QQQ (QID)
IWM,Pacific,STOCK,USD,0.01,iShares Russell 2000 ETF (IWM),iShares Russell 2000 ETF (IWM)
SMH,Pacific,STOCK,USD,0.01,VanEck Vectors Semiconductor ETF (SMH),VanEck Vectors Semiconductor ETF (SMH)
BBH,NASDAQ,STOCK,USD,0.01,VanEck Vectors Biotech ETF (BBH),VanEck Vectors Biotech ETF (BBH)
XLB,Pacific,STOCK,USD,0.01,Materials Select Sector SPDR (XLB),Materials Select Sector SPDR (XLB)
XLE,Pacific,STOCK,USD,0.01,SPDR Select Sector Fund - Energy Select Sector (XL,SPDR Select Sector Fund - Energy Select Sector (XL
XLF,Pacific,STOCK,USD,0.01,SPDR Select Sector Fund - Financial (XLF),SPDR Select Sector Fund - Financial (XLF)
XLI,Pacific,STOCK,USD,0.01,SPDR Select Sector Fund - Industrial (XLI),SPDR Select Sector Fund - Industrial (XLI)
XLK,Pacific,STOCK,USD,0.01,SPDR Select Sector Fund - Technology (XLK),SPDR Select Sector Fund - Technology (XLK)
XLP,Pacific,STOCK,USD,0.01,SPDR Select Sector Fund - Consumer Staples (XLP),SPDR Select Sector Fund - Consumer Staples (XLP)
XLU,Pacific,STOCK,USD,0.01,SPDR Select Sector Fund - Utilities (XLU),SPDR Select Sector Fund - Utilities (XLU)
XLV,Pacific,STOCK,USD,0.01,SPDR Select Sector Fund - Health Care (XLV),SPDR Select Sector Fund - Health Care (XLV)
XLY,Pacific,STOCK,USD,0.01,SPDR Select Sector Fund - Consumer Discretionary (,SPDR Select Sector Fund - Consumer Discretionary (
