GDXJ,Pacific,STOCK,USD,0.01,VanEck Vectors Junior Gold Miners ETF (GDXJ),VanEck Vectors Junior Gold Miners ETF (GDXJ)
GLD,Pacific,STOCK,USD,0.01,SPDR Gold Trust (GLD),SPDR Gold Trust (GLD)
AGI,NYSE,STOCK,USD,0.01,Alamos Gold Inc. Class A Common Shares (AGI),Alamos Gold Inc. Class A Common Shares (AGI)
TAHO,NYSE,STOCK,USD,0.01,Tahoe Resources,Tahoe Resources
SLW,NYSE,STOCK,USD,0.01,Silver Wheaton Corp Common Shares (Canada) (SLW),Silver Wheaton Corp Common Shares (Canada) (SLW)
SBGL,NYSE,STOCK,USD,0.01,Sibanye Gold Limited American Depositary Shares (E,Sibanye Gold Limited American Depositary Shares (E
SA,NYSE,STOCK,USD,0.01,Seabridge Gold,Seabridge Gold
RIC,NYSE,STOCK,USD,0.01,Richmont Mines,Richmont Mines
RGLD,NASDAQ,STOCK,USD,0.01,Royal Gold,Royal Gold
PAAS,NASDAQ,STOCK,USD,0.01,Pan American Silver Corp. Common Stock (PAAS),Pan American Silver Corp. Common Stock (PAAS)
NG,AMEX,STOCK,USD,0.01,Novagold Resources Inc. (NG),Novagold Resources Inc. (NG)
NEM,NYSE,STOCK,USD,0.01,Newmont Mining Corporation (NEM),Newmont Mining Corporation (NEM)
KGC,NYSE,STOCK,USD,0.01,Kinross Gold Corporation Common Stock (KGC),Kinross Gold Corporation Common Stock (KGC)
HMY,NYSE,STOCK,USD,0.01,Harmony Gold Mining Company Limited (HMY),Harmony Gold Mining Company Limited (HMY)
GV,AMEX,STOCK,USD,0.01,Goldfield Corporation (The) Common Stock (GV),Goldfield Corporation (The) Common Stock (GV)
GOLD,NASDAQ,STOCK,USD,0.01,Randgold Resources Limited American Depositary Sha,Randgold Resources Limited American Depositary Sha
GG,NYSE,STOCK,USD,0.01,Goldcorp Inc. Common Stock (GG),Goldcorp Inc. Common Stock (GG)
FSM,NYSE,STOCK,USD,0.01,Fortuna Silver Mines Inc Ordinary Shares (Canada) ,Fortuna Silver Mines Inc Ordinary Shares (Canada)
FNV,NYSE,STOCK,USD,0.01,Franco-Nevada Corporation (FNV),Franco-Nevada Corporation (FNV)
FCX,NYSE,STOCK,USD,0.01,Freeport-McMoRan,Freeport-McMoRan
DRD,NYSE,STOCK,USD,0.01,DRDGOLD Limited American Depositary Shares (DRD),DRDGOLD Limited American Depositary Shares (DRD)
CDE,NYSE,STOCK,USD,0.01,Coeur Mining,Coeur Mining
BTG,AMEX,STOCK,USD,0.01,B2Gold Corp Common shares (Canada) (BTG),B2Gold Corp Common shares (Canada) (BTG)
AUY,NYSE,STOCK,USD,0.01,Yamana Gold Inc. Ordinary Shares (Canada) (AUY),Yamana Gold Inc. Ordinary Shares (Canada) (AUY)
AU,NYSE,STOCK,USD,0.01,AngloGold Ashanti Limited Common Stock (AU),AngloGold Ashanti Limited Common Stock (AU)
AG,NYSE,STOCK,USD,0.01,First Majestic Silver Corp. Ordinary Shares (Canad,First Majestic Silver Corp. Ordinary Shares (Canad
AEM,NYSE,STOCK,USD,0.01,Agnico Eagle Mines Limited Common Stock (AEM),Agnico Eagle Mines Limited Common Stock (AEM)
ABX,NYSE,STOCK,USD,0.01,Barrick Gold Corporation Common Stock (ABX),Barrick Gold Corporation Common Stock (ABX)
